Name,Category,Ingredients,Cooking Time (min),Instructions
Recipe 181,Lunch,"Pork, Chocolate, Pasta, Butter",55,Step 1: Prepare Pork. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 182,Dessert,"Chicken, Sugar, Mushroom, Spinach, Butter",65,Step 1: Prepare Chicken. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 183,Drinks,"Garlic, Mushroom, Sugar, Milk, Onion, Carrot",67,Step 1: Prepare Garlic. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 184,Vegan,"Pasta, Beef, Chocolate, Onion, Eggs, Fish, Garlic",79,Step 1: Prepare Pasta. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 185,Breakfast,"Fish, Spinach, Butter, Garlic",45,Step 1: Prepare Fish. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 186,Drinks,"Fish, Pasta, Tomato",78,Step 1: Prepare Fish. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 187,Dessert,"Pasta, Tomato, Mushroom, Rice",85,Step 1: Prepare Pasta. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 188,Lunch,"Chocolate, Mushroom, Onion, Beef, Eggs, Rice, Potato",65,Step 1: Prepare Chocolate. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 189,Vegetarian,"Garlic, Pork, Chicken, Pasta",90,Step 1: Prepare Garlic. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 190,Gluten-Free,"Cheese, Chocolate, Flour",57,Step 1: Prepare Cheese. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 191,Dessert,"Eggs, Sugar, Rice",10,Step 1: Prepare Eggs. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 192,Drinks,"Tomato, Carrot, Milk, Butter, Pasta, Chocolate, Cheese",20,Step 1: Prepare Tomato. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 193,Dessert,"Flour, Milk, Butter, Carrot, Eggs, Mushroom",25,Step 1: Prepare Flour. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 194,Gluten-Free,"Beef, Chocolate, Flour, Fish",18,Step 1: Prepare Beef. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 195,Dessert,"Butter, Mushroom, Fish",33,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 196,Vegan,"Flour, Tomato, Chicken, Pasta",59,Step 1: Prepare Flour. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 197,Vegetarian,"Beef, Potato, Sugar, Tomato, Onion, Chocolate",21,Step 1: Prepare Beef. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 198,Drinks,"Butter, Pork, Potato",50,Step 1: Prepare Butter. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 199,Vegan,"Tomato, Chicken, Carrot, Flour, Rice, Pork",80,Step 1: Prepare Tomato. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 200,Snacks,"Eggs, Flour, Spinach, Sugar, Cheese",80,Step 1: Prepare Eggs. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 201,Snacks,"Carrot, Mushroom, Sugar, Butter, Chicken, Tomato, Onion",36,Step 1: Prepare Carrot. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 202,Dessert,"Eggs, Chocolate, Butter",51,Step 1: Prepare Eggs. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 203,Lunch,"Carrot, Milk, Butter, Pork",31,Step 1: Prepare Carrot. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 204,Dessert,"Potato, Pasta, Tomato",54,Step 1: Prepare Potato. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 205,Snacks,"Pork, Potato, Garlic, Sugar, Chocolate, Chicken, Carrot",10,Step 1: Prepare Pork. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 206,Drinks,"Butter, Garlic, Fish, Milk, Sugar, Mushroom",88,Step 1: Prepare Butter. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 207,Dinner,"Onion, Butter, Eggs, Pork",75,Step 1: Prepare Onion. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 208,Vegetarian,"Butter, Garlic, Carrot, Onion, Rice, Potato, Flour",49,Step 1: Prepare Butter. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 209,Dessert,"Milk, Chocolate, Sugar",62,Step 1: Prepare Milk. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 210,Drinks,"Tomato, Chicken, Pork",50,Step 1: Prepare Tomato. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 211,Gluten-Free,"Sugar, Butter, Potato, Chicken, Eggs",32,Step 1: Prepare Sugar. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 212,Lunch,"Tomato, Beef, Spinach, Rice, Pasta",26,Step 1: Prepare Tomato. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 213,Drinks,"Chocolate, Onion, Mushroom, Butter, Pasta, Potato",45,Step 1: Prepare Chocolate. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 214,Gluten-Free,"Fish, Eggs, Tomato, Butter, Spinach, Flour, Onion",49,Step 1: Prepare Fish. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 215,Dessert,"Flour, Garlic, Pasta, Potato",20,Step 1: Prepare Flour. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 216,Drinks,"Cheese, Spinach, Chicken",13,Step 1: Prepare Cheese. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 217,Dinner,"Cheese, Eggs, Mushroom",51,Step 1: Prepare Cheese. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 218,Snacks,"Onion, Spinach, Beef, Mushroom",17,Step 1: Prepare Onion. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 219,Vegan,"Butter, Rice, Spinach, Tomato, Potato, Sugar",59,Step 1: Prepare Butter. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 220,Dinner,"Spinach, Flour, Rice, Fish, Onion, Garlic",80,Step 1: Prepare Spinach. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 221,Vegetarian,"Chicken, Mushroom, Beef, Cheese, Sugar, Garlic",14,Step 1: Prepare Chicken. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 222,Dinner,"Pasta, Onion, Milk, Sugar, Mushroom",84,Step 1: Prepare Pasta. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 223,Snacks,"Spinach, Carrot, Beef, Garlic, Mushroom",13,Step 1: Prepare Spinach. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 224,Snacks,"Chicken, Milk, Flour",25,Step 1: Prepare Chicken. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 225,Dessert,"Carrot, Flour, Mushroom, Eggs",16,Step 1: Prepare Carrot. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 226,Breakfast,"Eggs, Garlic, Butter, Onion",86,Step 1: Prepare Eggs. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 227,Snacks,"Eggs, Mushroom, Onion",82,Step 1: Prepare Eggs. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 228,Drinks,"Pork, Potato, Sugar, Fish, Carrot",77,Step 1: Prepare Pork. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 229,Gluten-Free,"Cheese, Onion, Beef, Milk",47,Step 1: Prepare Cheese. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 230,Dessert,"Pork, Mushroom, Potato, Onion",76,Step 1: Prepare Pork. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 231,Drinks,"Beef, Pasta, Spinach",71,Step 1: Prepare Beef. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 232,Drinks,"Cheese, Sugar, Onion, Tomato",60,Step 1: Prepare Cheese. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 233,Dessert,"Cheese, Sugar, Rice",56,Step 1: Prepare Cheese. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 234,Lunch,"Eggs, Cheese, Garlic, Spinach, Onion",39,Step 1: Prepare Eggs. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 235,Dinner,"Pork, Fish, Chocolate, Sugar, Tomato, Mushroom",37,Step 1: Prepare Pork. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 236,Lunch,"Chicken, Chocolate, Milk, Fish, Sugar",25,Step 1: Prepare Chicken. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 237,Dinner,"Chocolate, Sugar, Carrot, Potato, Chicken",79,Step 1: Prepare Chocolate. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 238,Vegan,"Pork, Rice, Butter, Fish, Garlic, Eggs, Milk",73,Step 1: Prepare Pork. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 239,Snacks,"Spinach, Onion, Carrot",21,Step 1: Prepare Spinach. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 240,Lunch,"Beef, Fish, Pork",39,Step 1: Prepare Beef. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 241,Vegetarian,"Butter, Carrot, Eggs, Chocolate, Garlic",22,Step 1: Prepare Butter. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 242,Snacks,"Eggs, Chocolate, Pork, Cheese, Carrot, Flour",66,Step 1: Prepare Eggs. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 243,Vegan,"Potato, Flour, Onion, Mushroom, Chicken",44,Step 1: Prepare Potato. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 244,Gluten-Free,"Milk, Potato, Spinach, Garlic, Onion, Chocolate",14,Step 1: Prepare Milk. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 245,Gluten-Free,"Chocolate, Chicken, Cheese, Garlic, Pasta, Onion",30,Step 1: Prepare Chocolate. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 246,Dinner,"Sugar, Mushroom, Beef",75,Step 1: Prepare Sugar. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 247,Dinner,"Chocolate, Onion, Spinach",38,Step 1: Prepare Chocolate. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 248,Vegetarian,"Pork, Flour, Fish, Eggs, Beef, Chocolate, Sugar",18,Step 1: Prepare Pork. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 249,Lunch,"Onion, Butter, Fish, Cheese, Carrot, Sugar",76,Step 1: Prepare Onion. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 250,Gluten-Free,"Chocolate, Eggs, Cheese",88,Step 1: Prepare Chocolate. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 251,Lunch,"Cheese, Pork, Eggs, Spinach, Milk",80,Step 1: Prepare Cheese. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 252,Vegan,"Chocolate, Milk, Tomato",80,Step 1: Prepare Chocolate. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 253,Lunch,"Rice, Onion, Eggs",52,Step 1: Prepare Rice. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 254,Vegan,"Chocolate, Cheese, Flour, Pasta, Beef",46,Step 1: Prepare Chocolate. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 255,Gluten-Free,"Sugar, Garlic, Chocolate",36,Step 1: Prepare Sugar. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 256,Drinks,"Chicken, Mushroom, Milk",50,Step 1: Prepare Chicken. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 257,Lunch,"Cheese, Carrot, Chocolate, Eggs",72,Step 1: Prepare Cheese. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 258,Drinks,"Carrot, Chicken, Sugar, Spinach",53,Step 1: Prepare Carrot. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 259,Lunch,"Potato, Tomato, Flour",87,Step 1: Prepare Potato. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 260,Dessert,"Carrot, Mushroom, Garlic, Flour",20,Step 1: Prepare Carrot. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 261,Drinks,"Carrot, Pasta, Chicken, Pork",40,Step 1: Prepare Carrot. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 262,Breakfast,"Flour, Pasta, Tomato, Pork, Butter",63,Step 1: Prepare Flour. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 263,Snacks,"Onion, Butter, Sugar",26,Step 1: Prepare Onion. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 264,Dessert,"Pasta, Cheese, Fish",53,Step 1: Prepare Pasta. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 265,Dinner,"Onion, Potato, Cheese, Rice, Sugar",39,Step 1: Prepare Onion. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 266,Lunch,"Sugar, Chocolate, Spinach, Carrot, Mushroom",48,Step 1: Prepare Sugar. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 267,Snacks,"Pork, Eggs, Butter",50,Step 1: Prepare Pork. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 268,Vegetarian,"Eggs, Sugar, Tomato",81,Step 1: Prepare Eggs. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 269,Lunch,"Butter, Spinach, Tomato, Pork, Sugar, Eggs",71,Step 1: Prepare Butter. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 270,Dinner,"Potato, Sugar, Pork, Carrot",32,Step 1: Prepare Potato. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 271,Breakfast,"Chicken, Beef, Potato",45,Step 1: Prepare Chicken. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 272,Vegetarian,"Sugar, Mushroom, Chicken, Rice, Garlic, Flour, Tomato",55,Step 1: Prepare Sugar. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 273,Dinner,"Flour, Milk, Butter, Carrot, Eggs",82,Step 1: Prepare Flour. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 274,Drinks,"Carrot, Fish, Onion, Rice, Potato, Spinach, Chocolate",82,Step 1: Prepare Carrot. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 275,Vegetarian,"Milk, Eggs, Potato",37,Step 1: Prepare Milk. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 276,Dessert,"Rice, Chocolate, Garlic, Flour, Spinach, Butter",66,Step 1: Prepare Rice. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 277,Vegetarian,"Spinach, Eggs, Pasta, Tomato, Chocolate",59,Step 1: Prepare Spinach. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 278,Dinner,"Chicken, Flour, Potato, Fish, Butter, Mushroom",46,Step 1: Prepare Chicken. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 279,Drinks,"Flour, Cheese, Butter",31,Step 1: Prepare Flour. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 280,Gluten-Free,"Butter, Chicken, Cheese, Carrot, Garlic, Chocolate, Potato",29,Step 1: Prepare Butter. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 281,Breakfast,"Carrot, Fish, Flour",13,Step 1: Prepare Carrot. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 282,Drinks,"Butter, Chocolate, Spinach, Onion, Rice, Flour",25,Step 1: Prepare Butter. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 283,Vegetarian,"Fish, Beef, Chicken",82,Step 1: Prepare Fish. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 284,Snacks,"Spinach, Pork, Fish, Eggs",42,Step 1: Prepare Spinach. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 285,Vegan,"Garlic, Potato, Pasta",82,Step 1: Prepare Garlic. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 286,Breakfast,"Mushroom, Chicken, Carrot, Fish, Spinach",21,Step 1: Prepare Mushroom. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 287,Breakfast,"Butter, Mushroom, Cheese, Spinach, Chocolate, Garlic, Pasta",70,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 288,Lunch,"Mushroom, Garlic, Cheese, Spinach, Pasta, Onion",74,Step 1: Prepare Mushroom. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 289,Breakfast,"Onion, Fish, Eggs, Rice",48,Step 1: Prepare Onion. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 290,Vegan,"Chocolate, Beef, Fish",30,Step 1: Prepare Chocolate. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 291,Gluten-Free,"Cheese, Potato, Milk, Flour",42,Step 1: Prepare Cheese. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 292,Dessert,"Butter, Pasta, Fish",84,Step 1: Prepare Butter. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 293,Breakfast,"Onion, Sugar, Tomato, Eggs, Milk, Spinach, Rice",55,Step 1: Prepare Onion. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 294,Vegan,"Pasta, Onion, Chicken",27,Step 1: Prepare Pasta. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 295,Dinner,"Flour, Chocolate, Chicken, Eggs, Fish",41,Step 1: Prepare Flour. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 296,Breakfast,"Pork, Carrot, Butter, Rice, Pasta, Milk, Sugar",29,Step 1: Prepare Pork. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 297,Breakfast,"Onion, Pork, Rice",31,Step 1: Prepare Onion. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 298,Dessert,"Pasta, Butter, Spinach",55,Step 1: Prepare Pasta. Step 2: Add Butter. Step 3: Cook and serve.
Recipe 299,Lunch,"Spinach, Flour, Eggs",56,Step 1: Prepare Spinach. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 300,Gluten-Free,"Mushroom, Spinach, Beef, Eggs, Carrot",76,Step 1: Prepare Mushroom. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 301,Vegan,"Onion, Flour, Chocolate, Butter, Tomato, Carrot",40,Step 1: Prepare Onion. Step 2: Add Flour. Step 3: Cook and serve.
Recipe 302,Gluten-Free,"Mushroom, Pasta, Chicken, Pork, Carrot, Butter, Cheese",72,Step 1: Prepare Mushroom. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 303,Breakfast,"Carrot, Spinach, Sugar, Chocolate",61,Step 1: Prepare Carrot. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 304,Vegetarian,"Cheese, Carrot, Rice, Garlic, Chocolate",46,Step 1: Prepare Cheese. Step 2: Add Carrot. Step 3: Cook and serve.
Recipe 305,Snacks,"Cheese, Milk, Fish",81,Step 1: Prepare Cheese. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 306,Dessert,"Carrot, Chocolate, Cheese, Spinach, Chicken, Potato",42,Step 1: Prepare Carrot. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 307,Lunch,"Butter, Mushroom, Fish, Pasta, Flour, Pork, Eggs",51,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 308,Lunch,"Potato, Chicken, Carrot, Tomato, Pasta",71,Step 1: Prepare Potato. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 309,Breakfast,"Pork, Eggs, Butter, Tomato, Chocolate, Chicken",73,Step 1: Prepare Pork. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 310,Vegan,"Onion, Eggs, Sugar, Fish",15,Step 1: Prepare Onion. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 311,Lunch,"Butter, Rice, Pork",55,Step 1: Prepare Butter. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 312,Drinks,"Spinach, Mushroom, Carrot, Chicken, Garlic, Pork, Flour",56,Step 1: Prepare Spinach. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 313,Dinner,"Fish, Pork, Butter",40,Step 1: Prepare Fish. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 314,Drinks,"Mushroom, Garlic, Chocolate, Fish, Eggs",56,Step 1: Prepare Mushroom. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 315,Drinks,"Eggs, Onion, Fish, Flour, Garlic",46,Step 1: Prepare Eggs. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 316,Vegetarian,"Rice, Milk, Beef, Chocolate, Onion, Pork, Potato",78,Step 1: Prepare Rice. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 317,Dessert,"Garlic, Cheese, Beef, Carrot, Tomato",25,Step 1: Prepare Garlic. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 318,Vegan,"Beef, Chocolate, Eggs, Pasta, Pork, Tomato, Cheese",41,Step 1: Prepare Beef. Step 2: Add Chocolate. Step 3: Cook and serve.
Recipe 319,Vegan,"Potato, Pork, Garlic, Tomato",83,Step 1: Prepare Potato. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 320,Dessert,"Cheese, Sugar, Onion",70,Step 1: Prepare Cheese. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 321,Gluten-Free,"Carrot, Beef, Spinach, Milk, Fish, Chicken, Mushroom",82,Step 1: Prepare Carrot. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 322,Vegan,"Cheese, Milk, Spinach, Eggs, Sugar",87,Step 1: Prepare Cheese. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 323,Snacks,"Cheese, Fish, Beef, Spinach, Flour, Pasta",44,Step 1: Prepare Cheese. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 324,Lunch,"Flour, Mushroom, Sugar, Butter, Garlic, Milk, Cheese",28,Step 1: Prepare Flour. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 325,Vegetarian,"Butter, Pasta, Chocolate, Flour, Spinach, Mushroom",70,Step 1: Prepare Butter. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 326,Snacks,"Milk, Pasta, Garlic, Eggs, Cheese, Butter, Fish",30,Step 1: Prepare Milk. Step 2: Add Pasta. Step 3: Cook and serve.
Recipe 327,Lunch,"Pasta, Sugar, Potato, Cheese, Eggs, Mushroom, Garlic",34,Step 1: Prepare Pasta. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 328,Vegan,"Pork, Cheese, Fish, Chicken",58,Step 1: Prepare Pork. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 329,Dessert,"Onion, Beef, Flour, Chocolate",83,Step 1: Prepare Onion. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 330,Dessert,"Onion, Rice, Chicken, Potato, Chocolate",72,Step 1: Prepare Onion. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 331,Lunch,"Butter, Beef, Pork, Mushroom, Tomato, Onion, Carrot",23,Step 1: Prepare Butter. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 332,Vegetarian,"Garlic, Onion, Mushroom, Tomato, Milk, Flour, Chocolate",24,Step 1: Prepare Garlic. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 333,Dessert,"Cheese, Tomato, Garlic, Fish, Rice, Spinach, Flour",52,Step 1: Prepare Cheese. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 334,Dessert,"Onion, Pork, Beef, Milk, Sugar, Flour",20,Step 1: Prepare Onion. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 335,Gluten-Free,"Pork, Eggs, Onion, Mushroom",76,Step 1: Prepare Pork. Step 2: Add Eggs. Step 3: Cook and serve.
Recipe 336,Breakfast,"Rice, Sugar, Tomato, Onion, Chocolate, Fish",73,Step 1: Prepare Rice. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 337,Lunch,"Pork, Potato, Rice, Tomato, Fish",36,Step 1: Prepare Pork. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 338,Gluten-Free,"Milk, Rice, Butter, Pork, Potato, Eggs",75,Step 1: Prepare Milk. Step 2: Add Rice. Step 3: Cook and serve.
Recipe 339,Drinks,"Chocolate, Onion, Carrot",33,Step 1: Prepare Chocolate. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 340,Vegetarian,"Flour, Sugar, Carrot, Pork, Pasta, Garlic, Butter",25,Step 1: Prepare Flour. Step 2: Add Sugar. Step 3: Cook and serve.
Recipe 341,Breakfast,"Pasta, Garlic, Butter, Chocolate, Tomato, Fish, Spinach",54,Step 1: Prepare Pasta. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 342,Breakfast,"Spinach, Cheese, Mushroom, Potato, Carrot",16,Step 1: Prepare Spinach. Step 2: Add Cheese. Step 3: Cook and serve.
Recipe 343,Gluten-Free,"Fish, Chicken, Chocolate, Cheese, Garlic, Sugar, Flour",48,Step 1: Prepare Fish. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 344,Drinks,"Beef, Milk, Flour, Potato",80,Step 1: Prepare Beef. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 345,Vegetarian,"Tomato, Spinach, Pork, Sugar, Fish, Milk",60,Step 1: Prepare Tomato. Step 2: Add Spinach. Step 3: Cook and serve.
Recipe 346,Vegetarian,"Mushroom, Fish, Chicken",16,Step 1: Prepare Mushroom. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 347,Snacks,"Milk, Potato, Beef, Pasta, Garlic, Tomato",51,Step 1: Prepare Milk. Step 2: Add Potato. Step 3: Cook and serve.
Recipe 348,Dinner,"Fish, Mushroom, Chicken, Carrot, Rice, Chocolate, Pasta",42,Step 1: Prepare Fish. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 349,Snacks,"Butter, Mushroom, Chocolate",56,Step 1: Prepare Butter. Step 2: Add Mushroom. Step 3: Cook and serve.
Recipe 350,Lunch,"Butter, Garlic, Fish, Carrot",17,Step 1: Prepare Butter. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 351,Gluten-Free,"Eggs, Garlic, Flour, Rice, Cheese, Spinach, Sugar",43,Step 1: Prepare Eggs. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 352,Vegetarian,"Sugar, Chicken, Flour, Milk, Onion",25,Step 1: Prepare Sugar. Step 2: Add Chicken. Step 3: Cook and serve.
Recipe 353,Breakfast,"Pasta, Tomato, Onion, Chicken, Fish, Sugar",30,Step 1: Prepare Pasta. Step 2: Add Tomato. Step 3: Cook and serve.
Recipe 354,Dessert,"Garlic, Onion, Cheese, Milk, Butter, Pork",35,Step 1: Prepare Garlic. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 355,Breakfast,"Potato, Pork, Cheese, Chocolate, Fish, Chicken",82,Step 1: Prepare Potato. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 356,Vegan,"Carrot, Fish, Cheese, Chicken, Pasta",41,Step 1: Prepare Carrot. Step 2: Add Fish. Step 3: Cook and serve.
Recipe 357,Vegetarian,"Carrot, Pork, Butter, Flour, Fish, Rice",55,Step 1: Prepare Carrot. Step 2: Add Pork. Step 3: Cook and serve.
Recipe 358,Lunch,"Garlic, Milk, Potato, Chocolate, Butter",47,Step 1: Prepare Garlic. Step 2: Add Milk. Step 3: Cook and serve.
Recipe 359,Dessert,"Milk, Onion, Spinach, Beef, Cheese",62,Step 1: Prepare Milk. Step 2: Add Onion. Step 3: Cook and serve.
Recipe 360,Dessert,"Eggs, Beef, Garlic",50,Step 1: Prepare Eggs. Step 2: Add Beef. Step 3: Cook and serve.
Recipe 361,Lunch,"Chicken, Garlic, Flour",69,Step 1: Prepare Chicken. Step 2: Add Garlic. Step 3: Cook and serve.
Recipe 362,Vegan,"Sugar, Mushroom, Milk, Butter, Garlic, Beef, Cheese",74,Step 1: Prepare Sugar. Step 2: Add Mushroom. Step 3: Cook and serve.
